INFO:root:['0484', '16', '07:24:56.655', '04']
INFO:root:['6102', '43', '06:47:26.918', '08']
INFO:root:['3974', '25', '24:17:55.019', '05']
INFO:root:['4447', '03', '13:01:33.335', '01']
INFO:root:['5765', '73', '05:46:26.639', '04']
INFO:root:['2946', '64', '02:58:07.765', '01', '5371', '44', '21:19:32.633', '10', '9591', '28', '11:53:48.509', '08', '0868', '62', '09:33:17.882', '01', '3115', '17', '22:14:60.818', '03', '7215', '33', '16:48:24.482', '01']
INFO:root:['2689', '66', '15:20:18.375', '09', '0296', '79', '13:02:27.815', '05', '4371', '94', '16:60:38.221', '02', '9840', '18', '02:36:43.655', '07', '7608', '76', '14:38:36.737', '04', '6959', '86', '09:42:42.092', '03', '9913', '32', '21:42:04.272', '06', '6236', '78', '09:51:40.369', '00', '2689', '10', '09:15:12.981', '08', '9289', '62', '09:03:56.662', '05', '4063', '80', '21:50:55.491', '05', '8802', '03', '14:14:14.566', '04', '5565', '00', '10:14:02.069', '03', '8558', '72', '17:13:47.722', '07']
INFO:root:['7164', '66', '03:01:56.796', '06', '7785', '58', '15:07:38.118', '09', '7266', '27', '08:59:17.456', '04', '4574', '22', '04:51:12.534', '08', '5649', '78', '10:40:22.374', '07', '9996', '43', '16:19:17.854', '03', '9123', '34', '14:35:34.449', '06', '4064', '71', '09:15:17.516', '04']
INFO:root:['6315', '09', '23:53:19.712', '02', '3613', '95', '23:10:04.574', '02', '0800', '67', '10:05:43.846', '01', '1167', '52', '21:53:50.777', '03', '3734', '28', '11:32:30.112', '06', '6246', '59', '01:15:01.012', '06']
INFO:root:['9308', '40', '16:38:44.681', '10', '3989', '33', '10:13:58.472', '05', '5926', '71', '23:17:57.622', '05', '3034', '50', '22:40:38.239', '06', '3876', '71', '22:58:18.920', '06']
INFO:root:['8009', '70', '04:08:42.207', '02', '6284', '19', '06:28:50.194', '10', '7399', '06', '12:04:10.751', '10', '9834', '41', '12:40:49.656', '09', '5448', '49', '16:52:03.272', '00']
INFO:root:['6981', '86', '03:49:14.705', '02', '9229', '10', '18:00:58.028', '02', '2676', '45', '13:60:06.721', '03', '1103', '64', '07:04:53.647', '06', '3762', '24', '03:19:39.054', '09', '5564', '82', '17:53:58.604', '04', '6938', '01', '11:57:24.610', '05', '3902', '67', '15:44:50.724', '07', '3815', '81', '23:12:52.259', '06']
INFO:root:['5842', '82', '21:60:00.742', '06', '1158', '67', '08:24:59.300', '06', '1474', '98', '23:55:43.160', '00', '3191', '71', '11:60:42.628', '05', '7499', '64', '18:45:18.463', '09', '2286', '04', '15:43:36.127', '03', '5861', '40', '17:00:45.923', '10', '3134', '92', '04:09:13.187', '01']
INFO:root:['4428', '87', '23:02:04.703', '00', '4705', '54', '17:03:32.293', '06', '2858', '18', '16:15:04.249', '04', '7526', '92', '23:20:29.443', '01', '7506', '13', '17:09:20.744', '06', '7963', '08', '21:34:51.606', '08']
INFO:root:['4137', '25', '09:30:52.825', '09', '3749', '64', '22:53:41.631', '01', '6312', '91', '13:40:57.879', '00', '2262', '26', '03:02:18.415', '07', '3818', '75', '14:26:27.743', '02']
INFO:root:['5023', '74', '24:14:28.790', '04', '2344', '16', '23:10:13.067', '10', '1406', '99', '03:50:55.780', '10', '4255', '02', '17:36:29.555', '10', '2959', '10', '24:40:57.278', '05', '5666', '61', '23:07:47.515', '01']
INFO:root:['4418', '64', '09:02:25.658', '02', '1568', '41', '08:16:23.317', '00', '0437', '27', '19:32:35.682', '09', '8385', '44', '10:56:40.419', '01']
INFO:root:['7095', '98', '12:04:56.786', '10', '6402', '57', '16:59:43.602', '08', '7987', '53', '05:33:01.958', '07', '0530', '61', '13:12:20.765', '10', '9495', '50', '24:52:21.093', '08']
INFO:root:['0410', '95', '03:17:39.576', '10', '3348', '60', '19:05:57.153', '05', '8583', '50', '03:57:23.585', '08', '7231', '43', '14:38:06.197', '08']
INFO:root:['0069', '35', '14:14:25.253', '04', '9395', '78', '01:14:57.062', '02', '5204', '20', '14:56:53.003', '02', '5399', '65', '19:52:13.820', '00', '4342', '08', '10:05:01.906', '05']
INFO:root:['5676', '55', '14:10:59.240', '04', '7630', '32', '18:10:35.198', '00', '3891', '85', '21:19:43.563', '00', '6599', '47', '16:60:59.459', '02']
INFO:root:['3001', '35', '23:20:46.938', '08']
INFO:root:['0329', '33', '04:24:00.273', '02']
INFO:root:['3855', '08', '24:31:33.966', '01']
INFO:root:['2478', '99', '08:23:08.766', '07']
INFO:root:['8069', '21', '16:48:34.533', '09']
INFO:root:['4342', '39', '08:43:05.434', '06']
INFO:root:['9378', '32', '04:46:03.810', '01']
INFO:root:['7976', '24', '01:24:48.446', '03']
INFO:root:['6050', '90', '13:23:05.368', '00']
INFO:root:['0629', '33', '04:32:36.256', '07']
INFO:root:['2346', '59', '08:24:44.590', '06']
INFO:root:['7817', '75', '09:52:35.342', '03']
INFO:root:['0809', '30', '16:08:57.470', '08']
INFO:root:['3845', '70', '10:56:09.862', '08']
INFO:root:['3119', '15', '12:56:42.256', '01']
INFO:root:['3142', '74', '17:41:49.015', '02']
INFO:root:['8575', '33', '06:23:06.054', '00']
INFO:root:['2519', '32', '01:14:26.842', '00']
INFO:root:['4444', '92', '23:41:60.968', '01']
INFO:root:['1576', '14', '04:12:44.618', '08']
INFO:root:['5790', '80', '07:53:06.093', '00']
INFO:root:['6482', '47', '22:39:29.088', '02']
INFO:root:['0630', '05', '13:51:22.841', '10']
INFO:root:['0048', '31', '24:27:12.286', '01']
INFO:root:['5261', '11', '16:01:46.036', '05']
INFO:root:['1922', '10', '19:57:01.147', '01']
INFO:root:['1520', '37', '01:04:22.368', '04']
INFO:root:['7203', '19', '07:17:20.690', '03']
INFO:root:['8142', '00', '23:60:05.113', '01']
INFO:root:['2560', '53', '04:12:35.949', '06']
INFO:root:['2878', '83', '23:16:02.626', '06']
INFO:root:['3047', '68', '03:56:22.911', '04']
INFO:root:['4599', '82', '06:33:09.706', '06']
INFO:root:['0034', '23', '05:32:39.965', '04']
INFO:root:['2231', '60', '24:31:43.961', '02']
INFO:root:['7634', '81', '10:16:18.661', '07']
INFO:root:['4191', '51', '04:08:27.965', '05']
INFO:root:['7296', '70', '04:36:11.597', '06']
INFO:root:['5671', '38', '12:40:03.439', '02']
INFO:root:['0151', '29', '16:58:06.232', '09']
INFO:root:['2964', '72', '01:59:53.647', '02']
INFO:root:['7609', '35', '17:48:00.598', '01']
INFO:root:['1398', '18', '05:43:11.439', '08']
INFO:root:['2351', '30', '02:20:03.686', '01']
INFO:root:['8243', '96', '23:13:05.207', '05']
INFO:root:['0784', '63', '04:58:54.731', '05']
INFO:root:['1299', '73', '05:19:20.759', '05']
INFO:root:['1309', '88', '12:60:32.020', '04']
INFO:root:['4654', '81', '05:48:20.149', '10']
INFO:root:['6887', '80', '04:37:56.154', '02']
INFO:root:['4289', '28', '18:53:30.634', '03']
INFO:root:['2440', '54', '03:31:39.965', '03']
INFO:root:['9471', '93', '23:40:29.720', '09']
INFO:root:['9667', '73', '04:25:22.441', '09']
INFO:root:['1766', '74', '17:58:59.850', '07']
INFO:root:['2636', '02', '06:46:44.745', '03']
INFO:root:['4715', '91', '17:59:30.137', '08']
INFO:root:['7748', '75', '17:52:60.251', '03']
INFO:root:['3034', '16', '21:27:37.216', '04']
INFO:root:['0225', '42', '16:58:45.461', '02']
INFO:root:['7272', '79', '14:00:19.564', '01']
INFO:root:['1663', '35', '19:07:07.409', '07']
INFO:root:['6466', '77', '22:45:13.636', '10']
INFO:root:['5206', '01', '22:55:03.741', '02']
INFO:root:['2419', '79', '20:57:01.614', '04']
INFO:root:['0138', '58', '01:25:06.917', '05']
INFO:root:['6840', '05', '04:57:13.503', '08']
INFO:root:['3332', '94', '08:09:16.595', '08']
INFO:root:['5621', '37', '11:06:12.481', '05']
INFO:root:['0355', '43', '10:21:59.617', '10']
INFO:root:['3553', '39', '02:53:10.897', '06']
INFO:root:['2993', '36', '19:08:23.995', '00']
INFO:root:['9478', '06', '18:02:31.499', '09']
INFO:root:['0765', '28', '18:08:42.435', '05']
INFO:root:['8036', '31', '17:50:44.890', '10']
INFO:root:['0420', '90', '20:57:45.037', '02']
INFO:root:['0615', '06', '14:24:26.474', '04']
INFO:root:['6500', '92', '10:40:48.954', '09']
INFO:root:['2118', '49', '01:25:08.879', '08']
INFO:root:['6460', '90', '13:07:43.189', '07']
INFO:root:['1536', '25', '03:01:29.173', '02']
INFO:root:['5804', '21', '11:43:56.117', '00']
INFO:root:['5670', '22', '07:36:52.849', '09']
INFO:root:['6399', '06', '13:01:07.446', '07']
INFO:root:['9597', '62', '03:13:19.307', '10']
INFO:root:['5960', '43', '04:38:06.620', '05']
INFO:root:['8063', '60', '16:15:52.863', '05']
INFO:root:['3230', '59', '21:52:13.465', '06']
INFO:root:['8326', '54', '12:35:06.440', '06']
INFO:root:['3858', '05', '21:22:14.065', '06']
INFO:root:['6392', '04', '06:31:39.391', '05']
INFO:root:['8792', '18', '22:37:38.460', '07']
INFO:root:['9516', '91', '09:02:49.849', '02']
INFO:root:['0780', '24', '02:58:36.154', '01']
INFO:root:['5214', '09', '13:39:11.453', '01']
INFO:root:['7681', '90', '21:12:09.044', '00']
INFO:root:['3921', '03', '21:15:12.826', '09']
INFO:root:['4337', '98', '09:29:41.100', '00']
INFO:root:['4774', '66', '14:23:35.589', '10']
INFO:root:['9304', '71', '16:15:33.358', '08']
INFO:root:['6014', '49', '18:00:21.511', '03']
INFO:root:['6696', '53', '13:46:05.643', '01']
INFO:root:['7867', '27', '15:04:15.322', '09']
INFO:root:['0383', '88', '19:20:23.806', '00']
INFO:root:['8872', '34', '04:38:32.810', '01']
INFO:root:['4976', '70', '09:05:36.023', '01']
INFO:root:['8992', '98', '13:52:30.944', '06']
INFO:root:['0015', '85', '07:14:31.697', '03']
INFO:root:['0045', '60', '08:10:33.116', '08']
INFO:root:['8748', '79', '17:36:31.649', '04']
INFO:root:['6354', '83', '24:16:01.090', '08']
INFO:root:['7118', '94', '06:25:38.851', '09']
INFO:root:['1403', '22', '15:41:04.052', '07']
INFO:root:['2260', '20', '14:38:43.497', '09']
INFO:root:['3639', '69', '04:56:38.697', '04']
INFO:root:['3653', '30', '14:44:01.363', '05']
INFO:root:['2505', '52', '06:50:32.357', '04']
INFO:root:['5474', '67', '12:23:23.052', '03']
INFO:root:['0892', '59', '13:10:58.417', '10']
INFO:root:['2024', '81', '21:46:18.470', '05']
INFO:root:['8873', '05', '16:14:25.567', '08']
INFO:root:['8905', '82', '08:49:37.187', '00']
INFO:root:['4679', '65', '02:09:58.030', '01']
INFO:root:['4936', '39', '12:28:34.280', '09']
INFO:root:['7198', '15', '21:55:18.910', '06']
INFO:root:['3339', '64', '23:56:07.542', '00']
INFO:root:['2016', '15', '15:15:39.183', '09']
INFO:root:['6607', '11', '14:57:55.121', '01']
INFO:root:['6592', '05', '03:57:04.508', '06']
INFO:root:['8460', '56', '17:23:26.765', '00']
INFO:root:['6285', '06', '02:37:59.551', '03']
INFO:root:['6855', '06', '17:60:40.322', '05']
INFO:root:['4025', '05', '13:51:03.622', '03']
INFO:root:['4342', '10', '11:09:26.629', '07']
INFO:root:['2343', '82', '09:18:01.351', '07']
INFO:root:['4246', '70', '13:34:53.656', '09']
INFO:root:['2472', '08', '03:47:60.478', '00']
INFO:root:['6615', '17', '21:33:17.816', '02']
INFO:root:['1484', '63', '13:12:33.290', '08']
INFO:root:['3662', '18', '04:52:41.856', '01']
INFO:root:['7996', '29', '03:06:54.601', '10']
INFO:root:['4369', '02', '21:13:42.655', '01']
INFO:root:['9997', '69', '21:00:22.355', '01']
INFO:root:['8698', '09', '03:13:23.335', '00']
INFO:root:['2079', '83', '06:36:47.839', '08']
INFO:root:['4415', '47', '03:11:10.691', '03']
INFO:root:['5842', '69', '09:49:47.461', '00']
INFO:root:['9690', '72', '20:16:09.533', '03']
INFO:root:['8324', '18', '04:21:55.270', '03']
INFO:root:['8586', '11', '16:29:57.209', '09']
INFO:root:['3620', '26', '13:34:04.852', '09']
INFO:root:['5964', '77', '14:11:53.988', '07']
INFO:root:['6155', '88', '14:29:18.465', '02']
INFO:root:['9116', '17', '19:04:54.765', '06']
INFO:root:['3526', '40', '09:48:40.836', '00']
INFO:root:['6885', '31', '22:35:56.098', '10']
INFO:root:['6184', '75', '09:10:42.307', '05']
INFO:root:['4456', '83', '07:04:23.237', '09']
INFO:root:['6233', '97', '22:47:44.011', '09']
INFO:root:['1728', '72', '13:53:19.856', '01']
INFO:root:['8113', '40', '14:59:30.745', '06']
INFO:root:['0922', '76', '07:03:03.409', '05']
INFO:root:['6284', '22', '20:23:42.123', '02']
INFO:root:['0754', '71', '16:23:22.062', '01']
INFO:root:['9348', '63', '15:54:60.015', '06']
INFO:root:['4766', '86', '13:14:32.496', '02']
INFO:root:['0929', '62', '01:39:52.367', '08']
INFO:root:['7265', '99', '18:45:17.980', '03']
INFO:root:['0509', '06', '16:42:51.815', '03']
INFO:root:['2407', '94', '11:39:52.294', '05']
INFO:root:['4681', '06', '03:29:48.161', '03']
INFO:root:['8597', '79', '18:09:09.447', '08']
INFO:root:['1793', '15', '02:22:19.098', '09']
INFO:root:['2449', '56', '11:10:28.937', '07']
INFO:root:['8567', '36', '24:24:35.634', '03']
INFO:root:['7378', '64', '15:31:33.086', '09']
INFO:root:['3556', '09', '02:36:03.404', '04']
INFO:root:['7537', '04', '02:02:01.912', '06']
INFO:root:['9852', '58', '07:57:46.466', '04']
INFO:root:['9547', '65', '07:30:25.955', '03']
INFO:root:['9860', '06', '03:22:54.264', '07']
INFO:root:['3744', '10', '02:37:18.671', '05']
INFO:root:['1175', '98', '11:09:27.946', '01']
INFO:root:['8076', '27', '16:07:20.479', '02']
INFO:root:['5512', '94', '23:23:11.312', '06']
INFO:root:['5777', '44', '10:10:22.817', '02']
INFO:root:['2112', '98', '21:23:56.260', '03']
INFO:root:['6092', '78', '04:01:46.256', '06']
INFO:root:['4572', '68', '13:40:45.841', '00']
INFO:root:['8520', '25', '14:46:45.715', '05']
INFO:root:['9580', '91', '06:27:39.731', '08']
INFO:root:['5136', '32', '01:32:50.037', '05']
INFO:root:['1332', '71', '05:19:51.507', '03']
INFO:root:['7276', '94', '17:45:45.703', '00']
INFO:root:['4543', '06', '21:57:28.414', '08']
INFO:root:['9078', '32', '01:39:14.383', '02']
INFO:root:['3629', '17', '18:48:03.714', '09']
INFO:root:['0673', '35', '19:09:06.002', '06']
INFO:root:['2545', '35', '17:44:45.735', '09']
INFO:root:['0829', '69', '11:36:17.234', '04']
